datetime,casual,registered,count_direct_model,count
2011-01-29 19:00:00,9,81,93,90
2011-01-29 20:00:00,7,62,73,69
2011-01-29 21:00:00,6,48,56,54
2011-01-29 22:00:00,4,36,42,40
2011-01-29 23:00:00,3,24,28,27
2011-01-30 00:00:00,1,11,13,12
2011-01-30 01:00:00,1,6,7,6
2011-01-30 02:00:00,0,3,4,3
2011-01-30 03:00:00,0,1,2,1
2011-01-30 04:00:00,0,1,1,1
2011-01-30 05:00:00,0,4,5,4
2011-01-30 07:00:00,2,45,50,48
2011-01-30 08:00:00,5,82,90,87
2011-01-30 09:00:00,7,57,67,64
2011-01-30 10:00:00,9,38,49,47
2011-01-30 11:00:00,14,46,62,59
2011-01-30 12:00:00,19,62,84,81
2011-01-30 13:00:00,17,57,77,74
2011-01-30 14:00:00,17,52,72,69
2011-01-30 15:00:00,20,59,82,79
2011-01-30 16:00:00,20,81,107,102
2011-01-30 17:00:00,20,121,150,141
2011-01-30 18:00:00,14,109,129,122
2011-01-30 19:00:00,11,80,96,91
2011-01-30 20:00:00,8,57,69,65
2011-01-30 21:00:00,6,42,50,48
2011-01-30 22:00:00,4,32,38,36
2011-01-30 23:00:00,3,21,25,24
2011-01-31 00:00:00,0,12,13,12
2011-01-31 01:00:00,0,6,7,6
2011-01-31 02:00:00,0,3,4,3
2011-01-31 03:00:00,0,2,2,2
2011-01-31 04:00:00,0,1,1,1
2011-01-31 05:00:00,0,5,5,5
2011-01-31 06:00:00,0,16,16,16
2011-01-31 07:00:00,1,44,42,44
2011-01-31 08:00:00,2,84,81,86
2011-01-31 09:00:00,3,57,58,60
2011-01-31 10:00:00,4,38,43,42
2011-01-31 11:00:00,5,42,49,47
2011-01-31 12:00:00,6,57,65,63
2011-01-31 13:00:00,6,56,64,62
2011-01-31 14:00:00,6,48,57,54
2011-01-31 15:00:00,6,51,59,56
2011-01-31 16:00:00,6,70,76,76
2011-01-31 17:00:00,6,108,112,114
2011-01-31 18:00:00,5,102,103,107
2011-01-31 19:00:00,7,92,99,98
2011-01-31 20:00:00,1,35,35,36
2011-01-31 21:00:00,1,28,28,29
2011-01-31 22:00:00,2,34,35,36
2011-01-31 23:00:00,1,22,23,23
2011-02-20 00:00:00,3,14,18,17
2011-02-20 01:00:00,1,7,9,8
2011-02-20 02:00:00,1,4,5,4
2011-02-20 03:00:00,0,2,3,2
2011-02-20 04:00:00,0,1,2,1
2011-02-20 06:00:00,1,20,23,21
2011-02-20 07:00:00,3,54,61,57
2011-02-20 08:00:00,8,110,126,119
2011-02-20 09:00:00,10,73,88,83
2011-02-20 10:00:00,14,49,65,63
2011-02-20 11:00:00,20,58,80,78
2011-02-20 12:00:00,24,77,105,101
2011-02-20 13:00:00,27,77,109,105
2011-02-20 14:00:00,28,69,100,97
2011-02-20 15:00:00,30,76,109,105
2011-02-20 16:00:00,30,104,141,134
2011-02-20 17:00:00,30,160,203,190
2011-02-20 18:00:00,21,142,174,163
2011-02-20 19:00:00,17,105,129,122
2011-02-20 20:00:00,14,79,99,93
2011-02-20 21:00:00,10,58,72,69
2011-02-20 22:00:00,7,42,51,49
2011-02-20 23:00:00,5,28,34,33
2011-02-21 00:00:00,3,15,19,18
2011-02-21 01:00:00,1,8,10,9
2011-02-21 02:00:00,1,4,6,5
2011-02-21 03:00:00,0,2,3,3
2011-02-21 04:00:00,0,2,2,2
2011-02-21 05:00:00,0,7,8,7
2011-02-21 06:00:00,2,26,31,28
2011-02-21 07:00:00,6,70,83,76
2011-02-21 08:00:00,7,110,123,118
2011-02-21 09:00:00,9,75,88,84
2011-02-21 10:00:00,12,49,64,61
2011-02-21 11:00:00,15,57,76,73
2011-02-21 12:00:00,15,68,87,83
2011-02-21 13:00:00,7,37,46,44
2011-02-21 14:00:00,14,56,74,70
2011-02-21 15:00:00,12,58,75,70
2011-02-21 16:00:00,6,49,57,55
2011-02-21 17:00:00,13,125,144,138
2011-02-21 18:00:00,9,110,121,119
2011-02-21 19:00:00,7,81,90,88
2011-02-21 20:00:00,3,38,41,40
2011-02-21 21:00:00,2,29,31,31
2011-02-21 22:00:00,1,22,24,23
2011-02-21 23:00:00,1,14,16,15
2011-02-22 06:00:00,0,18,17,18
2011-02-22 07:00:00,0,50,46,51
2011-02-22 08:00:00,2,96,88,97
2011-02-22 09:00:00,2,66,65,69
2011-02-22 10:00:00,4,50,56,54
2011-02-22 11:00:00,6,58,67,64
2011-02-22 12:00:00,7,73,81,80
2011-02-22 13:00:00,7,70,80,78
2011-02-22 14:00:00,7,62,73,70
2011-02-22 15:00:00,8,69,80,76
2011-02-22 16:00:00,8,94,103,102
2011-02-22 17:00:00,8,147,151,155
2011-02-22 18:00:00,7,143,145,150
2011-02-22 19:00:00,5,100,100,104
2011-02-22 20:00:00,4,74,76,78
2011-02-22 21:00:00,3,57,58,60
2011-02-22 22:00:00,2,43,43,45
2011-02-22 23:00:00,1,28,29,30
2011-02-23 00:00:00,0,15,15,15
2011-02-23 01:00:00,0,8,8,8
2011-02-23 02:00:00,0,4,5,4
2011-02-23 03:00:00,0,2,2,2
2011-02-23 05:00:00,0,6,6,6
2011-02-23 06:00:00,0,23,21,23
2011-02-23 07:00:00,1,60,56,61
2011-02-23 08:00:00,2,114,106,116
2011-02-23 09:00:00,4,83,84,87
2011-02-23 10:00:00,6,59,67,65
2011-02-23 11:00:00,8,64,74,72
2011-02-23 12:00:00,9,84,95,93
2011-02-23 13:00:00,11,84,99,95
2011-02-23 14:00:00,11,76,92,87
2011-02-23 15:00:00,12,84,101,97
2011-02-23 16:00:00,13,119,136,133
2011-02-23 17:00:00,14,185,199,199
2011-02-23 18:00:00,11,171,179,181
2011-02-23 19:00:00,8,126,132,134
2011-02-23 20:00:00,4,78,79,81
2011-02-23 21:00:00,4,65,68,69
2011-02-23 22:00:00,3,51,53,54
2011-02-23 23:00:00,2,32,33,33
2011-02-24 00:00:00,1,18,19,19
2011-02-24 01:00:00,0,9,10,9
2011-02-24 02:00:00,0,5,5,5
2011-02-24 03:00:00,0,3,3,3
2011-02-24 05:00:00,0,7,6,7
2011-02-24 06:00:00,0,24,22,24
2011-02-24 07:00:00,1,64,60,65
2011-02-24 08:00:00,3,124,118,127
2011-02-24 09:00:00,3,78,77,81
2011-02-24 10:00:00,5,53,59,58
2011-02-24 11:00:00,7,62,72,70
2011-02-24 12:00:00,9,82,93,91
2011-02-24 13:00:00,11,84,97,94
2011-02-24 14:00:00,11,77,93,88
2011-02-24 15:00:00,6,51,59,57
2011-02-24 16:00:00,6,69,75,75
2011-02-24 17:00:00,6,106,109,112
2011-02-24 18:00:00,6,142,141,148
2011-02-24 19:00:00,2,65,64,68
2011-02-24 20:00:00,3,75,76,79
2011-02-24 21:00:00,3,59,60,62
2011-02-24 22:00:00,1,29,29,30
2011-02-24 23:00:00,1,30,31,32
2011-02-25 00:00:00,0,11,12,12
2011-02-25 01:00:00,1,9,10,10
2011-02-25 02:00:00,0,5,6,5
2011-02-25 03:00:00,0,3,3,3
2011-02-25 05:00:00,0,7,7,7
2011-02-25 06:00:00,0,16,16,16
2011-02-25 07:00:00,1,44,43,44
2011-02-25 08:00:00,3,85,84,88
2011-02-25 09:00:00,3,54,55,57
2011-02-25 10:00:00,5,39,46,44
2011-02-25 11:00:00,17,80,101,96
2011-02-25 12:00:00,11,63,76,74
2011-02-25 13:00:00,11,61,74,71
2011-02-25 14:00:00,11,54,68,65
2011-02-25 15:00:00,17,91,113,108
2011-02-25 16:00:00,12,112,126,124
2011-02-25 17:00:00,12,168,178,180
2011-02-25 18:00:00,11,166,174,177
2011-02-25 19:00:00,8,121,127,129
2011-02-25 20:00:00,6,86,90,92
2011-02-25 21:00:00,5,69,72,73
2011-02-25 22:00:00,3,51,53,54
2011-02-25 23:00:00,2,35,37,37
2011-02-26 00:00:00,3,16,20,19
2011-02-26 01:00:00,2,8,10,10
2011-02-26 02:00:00,1,4,6,5
2011-02-26 03:00:00,0,3,3,3
2011-02-26 04:00:00,0,2,2,2
2011-02-26 05:00:00,0,6,7,6
2011-02-26 06:00:00,2,25,29,27
2011-02-26 07:00:00,5,66,75,70
2011-02-26 08:00:00,10,123,141,133
2011-02-26 09:00:00,11,81,97,92
2011-02-26 10:00:00,17,56,76,73
2011-02-26 11:00:00,24,69,97,93
2011-02-26 12:00:00,22,80,107,102
2011-02-26 13:00:00,23,76,104,99
2011-02-26 14:00:00,23,68,95,90
2011-02-26 15:00:00,24,75,103,99
2011-02-26 16:00:00,26,106,140,132
2011-02-26 17:00:00,31,173,218,204
2011-02-26 18:00:00,24,160,196,183
2011-02-26 19:00:00,17,113,138,130
2011-02-26 20:00:00,13,83,101,95
2011-02-26 21:00:00,9,60,72,69
2011-02-26 22:00:00,7,45,55,52
2011-02-26 23:00:00,5,29,36,34
2011-02-27 00:00:00,2,13,17,15
2011-02-27 01:00:00,1,7,9,8
2011-02-27 02:00:00,1,4,5,5
2011-02-27 03:00:00,0,2,3,2
2011-02-27 04:00:00,0,1,2,1
2011-02-27 06:00:00,1,21,24,22
2011-02-27 07:00:00,3,54,61,57
2011-02-27 08:00:00,9,110,126,118
2011-02-27 09:00:00,11,74,90,85
2011-02-27 10:00:00,14,48,65,62
2011-02-27 11:00:00,21,59,83,81
2011-02-27 12:00:00,28,80,111,108
2011-02-27 13:00:00,32,80,115,112
2011-02-27 14:00:00,33,72,106,105
2011-02-27 15:00:00,35,79,115,113
2011-02-27 16:00:00,37,110,152,146
2011-02-27 17:00:00,33,162,209,195
2011-02-27 18:00:00,25,150,188,175
2011-02-27 19:00:00,21,112,142,133
2011-02-27 20:00:00,16,83,105,99
2011-02-27 21:00:00,12,61,77,73
2011-02-27 22:00:00,9,46,57,55
2011-02-27 23:00:00,6,29,36,35
2011-02-28 00:00:00,2,16,19,18
2011-02-28 01:00:00,0,4,5,4
2011-02-28 03:00:00,0,1,1,1
2011-02-28 05:00:00,0,6,7,6
2011-02-28 06:00:00,0,22,22,22
2011-02-28 07:00:00,2,61,63,63
2011-02-28 08:00:00,4,106,107,110
2011-02-28 09:00:00,8,87,96,94
2011-02-28 10:00:00,11,58,72,69
2011-02-28 11:00:00,16,69,90,86
2011-02-28 12:00:00,18,87,109,104
2011-02-28 13:00:00,7,46,55,52
2011-02-28 14:00:00,6,38,47,44
2011-02-28 15:00:00,6,41,50,47
2011-02-28 16:00:00,6,59,67,65
2011-02-28 17:00:00,6,90,96,96
2011-02-28 18:00:00,6,91,98,97
2011-02-28 19:00:00,4,63,67,67
2011-02-28 20:00:00,3,46,49,49
2011-02-28 21:00:00,4,56,61,61
2011-02-28 22:00:00,1,25,26,26
2011-02-28 23:00:00,2,27,29,28
2011-03-20 00:00:00,6,16,22,22
2011-03-20 01:00:00,3,8,11,11
2011-03-20 02:00:00,2,4,6,7
2011-03-20 03:00:00,1,2,3,3
2011-03-20 04:00:00,1,2,2,2
2011-03-20 05:00:00,1,6,8,7
2011-03-20 06:00:00,3,22,27,25
2011-03-20 07:00:00,7,58,70,65
2011-03-20 08:00:00,16,116,143,132
2011-03-20 09:00:00,21,82,108,104
2011-03-20 10:00:00,29,55,81,84
2011-03-20 11:00:00,38,64,97,103
2011-03-20 12:00:00,43,82,120,124
2011-03-20 13:00:00,49,83,125,132
2011-03-20 14:00:00,53,76,119,129
2011-03-20 15:00:00,52,80,124,132
2011-03-20 16:00:00,57,114,167,171
2011-03-20 17:00:00,54,170,232,224
2011-03-20 18:00:00,40,154,203,193
2011-03-20 19:00:00,28,109,143,137
2011-03-20 20:00:00,22,79,105,101
2011-03-20 21:00:00,15,56,73,71
2011-03-20 22:00:00,12,43,56,55
2011-03-20 23:00:00,4,17,22,21
2011-03-21 00:00:00,3,14,18,17
2011-03-21 01:00:00,3,12,15,15
2011-03-21 02:00:00,2,7,9,9
2011-03-21 03:00:00,1,4,5,5
2011-03-21 05:00:00,1,10,11,11
2011-03-21 06:00:00,1,21,23,22
2011-03-21 07:00:00,3,52,57,56
2011-03-21 08:00:00,12,158,174,169
2011-03-21 09:00:00,17,114,135,131
2011-03-21 10:00:00,26,80,108,107
2011-03-21 11:00:00,36,94,131,130
2011-03-21 12:00:00,40,118,160,158
2011-03-21 13:00:00,50,124,173,174
2011-03-21 14:00:00,55,113,166,168
2011-03-21 15:00:00,59,125,181,185
2011-03-21 16:00:00,56,167,226,223
2011-03-21 17:00:00,61,266,343,328
2011-03-21 18:00:00,46,243,303,289
2011-03-21 19:00:00,47,196,253,243
2011-03-21 20:00:00,36,145,189,182
2011-03-21 21:00:00,20,97,121,117
2011-03-21 22:00:00,17,76,96,93
2011-03-21 23:00:00,13,52,66,65
2011-03-22 00:00:00,7,28,35,35
2011-03-22 01:00:00,4,14,18,17
2011-03-22 02:00:00,3,8,11,11
2011-03-22 03:00:00,2,5,6,7
2011-03-22 04:00:00,1,3,4,4
2011-03-22 05:00:00,1,11,12,12
2011-03-22 06:00:00,3,39,44,42
2011-03-22 07:00:00,9,104,118,113
2011-03-22 08:00:00,18,200,226,217
2011-03-22 09:00:00,21,133,157,154
2011-03-22 10:00:00,30,92,123,123
2011-03-22 11:00:00,39,108,148,147
2011-03-22 12:00:00,46,139,187,185
2011-03-22 13:00:00,52,139,192,191
2011-03-22 14:00:00,52,123,175,175
2011-03-22 15:00:00,54,135,189,188
2011-03-22 16:00:00,57,189,251,246
2011-03-22 17:00:00,62,300,379,362
2011-03-22 18:00:00,48,277,340,325
2011-03-22 19:00:00,29,182,217,211
2011-03-22 20:00:00,22,131,158,153
2011-03-22 21:00:00,18,101,121,118
2011-03-22 22:00:00,14,77,92,91
2011-03-22 23:00:00,10,51,62,61
2011-03-23 00:00:00,3,16,19,18
2011-03-23 01:00:00,1,8,9,9
2011-03-23 02:00:00,1,4,5,5
2011-03-23 03:00:00,1,4,5,5
2011-03-23 05:00:00,0,6,6,6
2011-03-23 06:00:00,2,35,38,37
2011-03-23 07:00:00,5,92,98,97
2011-03-23 08:00:00,12,178,191,190
2011-03-23 09:00:00,14,121,137,135
2011-03-23 10:00:00,19,80,100,98
2011-03-23 11:00:00,23,89,114,112
2011-03-23 12:00:00,23,110,136,133
2011-03-23 13:00:00,14,68,84,82
2011-03-23 14:00:00,27,100,131,127
2011-03-23 15:00:00,29,110,142,139
2011-03-23 16:00:00,32,156,192,188
2011-03-23 17:00:00,35,248,290,283
2011-03-23 18:00:00,15,142,158,157
2011-03-23 19:00:00,12,105,118,117
2011-03-23 20:00:00,7,66,73,73
2011-03-23 21:00:00,5,50,55,55
2011-03-23 22:00:00,9,68,77,76
2011-03-23 23:00:00,4,29,33,33
2011-03-24 00:00:00,4,25,29,29
2011-03-24 01:00:00,2,12,15,14
2011-03-24 02:00:00,1,7,9,8
2011-03-24 03:00:00,0,4,5,5
2011-03-24 04:00:00,0,3,3,3
2011-03-24 05:00:00,0,10,11,11
2011-03-24 06:00:00,2,35,37,37
2011-03-24 07:00:00,2,58,59,60
2011-03-24 08:00:00,5,105,107,110
2011-03-24 09:00:00,12,120,133,132
2011-03-24 10:00:00,14,75,92,89
2011-03-24 11:00:00,20,90,114,111
2011-03-24 12:00:00,23,115,141,138
2011-03-24 13:00:00,26,115,145,141
2011-03-24 14:00:00,26,104,135,130
2011-03-24 15:00:00,25,109,138,134
2011-03-24 16:00:00,26,153,183,179
2011-03-24 17:00:00,28,240,273,268
2011-03-24 18:00:00,23,225,250,247
2011-03-24 19:00:00,20,174,196,193
2011-03-24 20:00:00,15,126,143,141
2011-03-24 21:00:00,12,97,110,109
2011-03-24 22:00:00,10,76,87,86
2011-03-24 23:00:00,7,49,56,56
2011-03-25 00:00:00,6,28,34,34
2011-03-25 01:00:00,3,14,17,17
2011-03-25 02:00:00,2,8,10,10
2011-03-25 03:00:00,1,5,6,6
2011-03-25 04:00:00,1,3,4,4
2011-03-25 05:00:00,1,11,12,12
2011-03-25 06:00:00,2,38,41,40
2011-03-25 07:00:00,7,103,113,110
2011-03-25 08:00:00,16,206,227,222
2011-03-25 09:00:00,20,142,165,162
2011-03-25 10:00:00,30,101,133,131
2011-03-25 11:00:00,37,111,149,148
2011-03-25 12:00:00,42,142,186,185
2011-03-25 13:00:00,45,141,188,186
2011-03-25 14:00:00,48,127,177,176
2011-03-25 15:00:00,43,130,175,172
2011-03-25 16:00:00,42,177,223,219
2011-03-25 17:00:00,43,273,325,316
2011-03-25 18:00:00,38,269,316,307
2011-03-25 19:00:00,28,191,224,219
2011-03-25 20:00:00,23,144,171,167
2011-03-25 21:00:00,19,111,132,129
2011-03-25 22:00:00,13,81,96,95
2011-03-25 23:00:00,10,54,63,63
2011-03-26 00:00:00,11,25,35,36
2011-03-26 01:00:00,8,13,19,21
2011-03-26 02:00:00,5,7,11,13
2011-03-26 03:00:00,3,4,6,7
2011-03-26 04:00:00,2,3,5,5
2011-03-26 05:00:00,2,10,13,13
2011-03-26 06:00:00,6,35,44,41
2011-03-26 07:00:00,14,96,121,111
2011-03-26 08:00:00,32,191,243,223
2011-03-26 09:00:00,41,133,180,174
2011-03-26 10:00:00,53,88,132,141
2011-03-26 11:00:00,66,100,153,166
2011-03-26 12:00:00,75,126,189,201
2011-03-26 13:00:00,79,124,189,203
2011-03-26 14:00:00,85,113,179,199
2011-03-26 15:00:00,89,124,194,213
2011-03-26 16:00:00,94,173,257,267
2011-03-26 17:00:00,94,266,372,360
2011-03-26 18:00:00,75,246,335,321
2011-03-26 19:00:00,46,163,217,209
2011-03-26 20:00:00,36,120,160,155
2011-03-26 21:00:00,29,92,123,121
2011-03-26 22:00:00,25,73,99,98
2011-03-26 23:00:00,17,46,63,63
2011-03-27 00:00:00,11,23,32,34
2011-03-27 01:00:00,6,11,16,17
2011-03-27 02:00:00,2,4,5,6
2011-03-27 03:00:00,1,2,3,2
2011-03-27 04:00:00,0,1,2,1
2011-03-27 06:00:00,2,17,21,19
2011-03-27 07:00:00,5,46,55,51
2011-03-27 08:00:00,23,155,193,178
2011-03-27 09:00:00,34,114,152,147
2011-03-27 10:00:00,36,69,101,105
2011-03-27 11:00:00,49,81,122,130
2011-03-27 12:00:00,55,103,150,158
2011-03-27 13:00:00,68,107,163,176
2011-03-27 14:00:00,76,100,159,176
2011-03-27 15:00:00,72,105,162,177
2011-03-27 16:00:00,87,156,232,242
2011-03-27 17:00:00,83,233,326,317
2011-03-27 18:00:00,65,217,295,282
2011-03-27 19:00:00,52,161,220,213
2011-03-27 20:00:00,39,116,159,155
2011-03-27 21:00:00,30,87,118,117
2011-03-27 22:00:00,25,68,93,93
2011-03-27 23:00:00,18,44,61,62
2011-03-28 00:00:00,5,24,29,29
2011-03-28 01:00:00,3,13,16,16
2011-03-28 02:00:00,2,7,9,9
2011-03-28 03:00:00,1,4,5,5
2011-03-28 05:00:00,1,10,11,11
2011-03-28 06:00:00,2,34,38,37
2011-03-28 07:00:00,7,93,104,100
2011-03-28 08:00:00,15,179,201,194
2011-03-28 09:00:00,17,119,141,137
2011-03-28 10:00:00,25,83,111,109
2011-03-28 11:00:00,28,89,119,117
2011-03-28 12:00:00,35,120,158,155
2011-03-28 13:00:00,36,114,152,149
2011-03-28 14:00:00,42,108,152,150
2011-03-28 15:00:00,41,115,158,156
